epoch,du,dv,dp,anneal,t_solve,t_grad,t_sparse_fields,t_sparse_weights,ref_du_linf,ref_du_l1,ref_du_l2,ref_dv_linf,ref_dv_l1,ref_dv_l2,ref_dp_linf,ref_dp_l1,ref_dp_l2,tt_opt,tt_callback
0,0.0,0.0,0.0,1,4.76837158203125e-06,0,0,0,0.8858756741746748,0.12531786607972278,0.20970173350461052,0.5308539680776211,0.10705988208624073,0.1523335935492746,2.411657123680486,0.14781262458021954,0.16903959381131284,4.795483827590942,0.787428617477417
1,0.21638019396798316,0.05429786015402768,0.09254052140098529,1,1.6689300537109375e-06,0,0,0,0.9464738191739281,0.12360702299956916,0.20400981131148077,0.5308539680776211,0.10769142705027678,0.15278735642738794,2.3401362663614727,0.14778200783783696,0.16865532483492277,4.8088767528533936,0.7877748012542725
2,0.32743251473790874,0.04169884997628476,0.06963181350567563,1,1.6689300537109375e-06,0,0,0,0.9832644266747762,0.12212990852671972,0.20067190329819692,0.5308539680776211,0.1083872112396528,0.1532750972775601,2.3309736749306906,0.14776167223959438,0.16845570825280962,4.826887607574463,0.7881290912628174
3,0.25571798126611356,0.04606385964010372,0.07644238973085091,1,1.6689300537109375e-06,0,0,0,0.9952128814089001,0.12093073946495264,0.19880874976851134,0.5308539674803346,0.1087803134524155,0.15344156825544844,2.2982857209624785,0.14774850171067674,0.16829209598072453,4.836365461349487,0.7884857654571533
4,0.06014383176233756,0.04724002634478036,0.035213309185276154,1,1.9073486328125e-06,0,0,0,0.9776938441074563,0.12068426397482099,0.1979984365506542,0.5308539648503044,0.10870263336699434,0.15325802524581567,2.2866872172265307,0.14775360561815004,0.16827733856464427,4.844855308532715,0.7888412475585938
5,0.10262751999801961,0.07975142324062191,0.07585450269179239,1,2.6226043701171875e-06,0,0,0,0.921666889000949,0.11999581392896982,0.19588486085974852,0.5308539478795584,0.10849601477307785,0.15297330248315064,2.26437286437209,0.14776894108851965,0.1683546330059356,4.85301947593689,0.789278507232666
6,0.10039993328547686,0.08770065573637503,0.052104354275672005,1,3.337860107421875e-06,0,0,0,0.8979114131281105,0.11938694224967597,0.19431431462295345,0.5308538792289995,0.10833251949820616,0.15287468662818676,2.2467772964600705,0.14775780871390876,0.16829778360459458,4.863858938217163,0.7897915840148926
7,0.0297241481653574,0.04685160858615123,0.009900259227906355,1,1.6689300537109375e-06,0,0,0,0.8988566560101572,0.11930275454413375,0.1941208167152067,0.5308538393518377,0.10830340469451816,0.15284249631631042,2.2368770372321642,0.14774607348943397,0.16823820176085968,4.872634172439575,0.790142297744751
8,0.02024187510583564,0.02178978823083362,0.01397444890531746,1,2.1457672119140625e-06,0,0,0,0.9020035976640906,0.1191309303395905,0.1936669615189105,0.5308537422056918,0.10827070757437555,0.15279486294464278,2.2229025883268467,0.14772360080128216,0.16810427712658188,4.881394386291504,0.7905094623565674
9,0.04189908490099871,0.025042757489060295,0.035241942536844234,1,2.6226043701171875e-06,0,0,0,0.9125571184414996,0.11865285055292416,0.19242674695365472,0.5308534406759535,0.10818072618817898,0.15268566192628932,2.1876606457900025,0.14767290154632995,0.16777001451009238,4.890242576599121,0.7910304069519043
10,0.04867678660167667,0.022269733672776192,0.03966951686146991,1,2.384185791015625e-06,0,0,0,0.9174904974338188,0.1180651514048093,0.1910088817633619,0.5308529017880125,0.1080709615302114,0.1525805984828844,2.147991128928533,0.14761479999477994,0.1673721886306738,4.899688959121704,0.7915151119232178
11,0.08043831532083852,0.051378071256327096,0.07132312393525819,1,1.430511474609375e-06,0,0,0,0.9096491332414538,0.11715740676533032,0.18883479550637144,0.5308493948442289,0.10790593744661853,0.1524461966263163,2.0766680049932744,0.1475120665398088,0.1667101938693877,4.9082231521606445,0.7918701171875
12,0.026918118300815475,0.03260873408687172,0.007951180880720249,1,1.430511474609375e-06,0,0,0,0.9049957137602893,0.11707239252227497,0.18859367617727682,0.5308470463639273,0.10786284211591714,0.15241351088261587,2.069066288983459,0.1475009665864644,0.16663910342458385,4.917819499969482,0.792219877243042
13,0.008985883133987488,0.008376430790127232,0.003621532180538102,1,1.9073486328125e-06,0,0,0,0.8970158973239812,0.11704830898033886,0.18842931364123539,0.530843415440968,0.1078479472732285,0.15240923801798495,2.066031355277853,0.14749528030710146,0.16660484383621138,4.927574872970581,0.7925751209259033
14,0.035234974620586335,0.023617097638783113,0.04447407325785063,1,2.86102294921875e-06,0,0,0,0.8644852933021988,0.11664739445762266,0.18718365580358803,0.53082132619888,0.10775022479779073,0.15236085405656027,2.0215572820200025,0.14743456296189572,0.1662260312788808,4.939468622207642,0.7929747104644775
15,0.016849079624104868,0.021750897794389476,0.026650656424359542,1,1.6689300537109375e-06,0,0,0,0.8525160825291984,0.11641561709349801,0.18655057772384676,0.530809983377315,0.10769468708491291,0.15231877521963813,1.9949066255956431,0.14740022586384255,0.16601599111158252,4.957973003387451,0.7933540344238281
16,0.017408532183251585,0.010180755768894142,0.029767965883105207,1,1.6689300537109375e-06,0,0,0,0.8400943272543995,0.11616606405937843,0.1859128715228094,0.5308001024092456,0.10763796158172796,0.152276787094055,1.965138659712538,0.14736232178196187,0.1657931643583244,4.96791672706604,0.7937629222869873
