epoch,du,dv,dp,anneal,t_solve,t_grad,t_sparse_fields,t_sparse_weights,ref_du_linf,ref_du_l1,ref_du_l2,ref_dv_linf,ref_dv_l1,ref_dv_l2,ref_dp_linf,ref_dp_l1,ref_dp_l2,tt_opt,tt_callback
0,0.0,0.0,0.0,1,4.76837158203125e-06,0,0,0,0.9295880195226024,0.14257525123153583,0.2152192330740265,0.6278848500971588,0.1373204447963468,0.1892162937282394,1.289287007146408,0.18700053099619351,0.19390321216835216,0.00954580307006836,0.5952146053314209
1,0.954358456652299,0.37079454972776543,0.34009747800392903,1,4.0531158447265625e-06,4.664462089538574,0.020755767822265625,0.0008337497711181641,0.36413299236767555,0.09131115955816453,0.11921862840584761,0.37217053263545363,0.06888072966100825,0.09652308258107282,0.949189529142479,0.13501688854300214,0.1425095940226339,5.652758836746216,0.5956077575683594
2,0.3888735693506046,0.29401304559148084,3.2391043340029695,1,4.0531158447265625e-06,0.0075380802154541016,0.030815839767456055,0.0009751319885253906,0.11394406064967222,0.032599931815728386,0.043959321574417336,0.1267543736937436,0.02576978919768764,0.03621339906665295,2.6816613011753807,2.6234272513064996,2.62350104777001,6.723841190338135,0.595975399017334
3,0.09717698092586646,0.07855420701071969,0.29843232417958454,1,4.0531158447265625e-06,0.006773471832275391,0.019348859786987305,0.0007696151733398438,0.07810647905662943,0.019491329640086392,0.027325893104670828,0.07453981908780855,0.012766238066480407,0.01987512915512195,2.7564580562547607,2.7094516597510196,2.709463377814811,7.684077024459839,0.5964293479919434
4,0.06536733128785015,0.03642227423672861,0.039839732080788615,1,4.291534423828125e-06,0.005244731903076172,0.020208358764648438,0.0008127689361572266,0.0509081306171183,0.012874343900329481,0.017995167446124224,0.03898986415017852,0.00842115734565901,0.011820782786382817,2.7260704553749373,2.6909873804529867,2.6909921682595073,8.648125171661377,0.596818208694458
5,0.020171683321426832,0.020055282442830336,0.032356026506230595,1,4.0531158447265625e-06,0.004621982574462891,0.020673274993896484,0.0007402896881103516,0.037788506571266534,0.009018374968327284,0.012538908328053367,0.02981808309506312,0.0058240042456117,0.007758529550692016,2.7113194808672105,2.6897039005397647,2.6897065525498656,9.605607032775879,0.5971925258636475
6,0.012958235923849287,0.012807299570730124,0.015144767615066446,1,4.291534423828125e-06,0.005751609802246094,0.01863265037536621,0.0008881092071533203,0.025789082338789238,0.006264211050756115,0.008641793931219733,0.017010783524332995,0.004021782820706973,0.005259368774004288,2.702931860909973,2.688744875613885,2.6887464448645817,10.548184394836426,0.5976076126098633
7,0.009046984631259247,0.008614729134340526,0.006915076712302515,1,4.0531158447265625e-06,0.005040645599365234,0.020657062530517578,0.0007097721099853516,0.01705841991905127,0.004258298130503836,0.00585083945849876,0.009007875360992817,0.0027481611095602617,0.003584279888780547,2.6963984020609972,2.686876498703893,2.6868773434945994,11.50149941444397,0.5980005264282227
8,0.006159496656385599,0.003879828326949719,0.004654947753026217,1,5.0067901611328125e-06,0.005291938781738281,0.021059513092041016,0.0007078647613525391,0.010988836907532884,0.002828747955937451,0.0038782450801726734,0.005626431002987736,0.0018360730265518706,0.002403673618703987,2.6939047427567004,2.6879062754665175,2.6879066933098237,12.461917400360107,0.598552942276001
9,0.004116879417641273,0.0022993705131092446,0.0044225241795690096,1,4.5299530029296875e-06,0.005711793899536133,0.0350642204284668,0.0007450580596923828,0.006903858173187394,0.0018274000972322163,0.0025006154427734796,0.0037658898742119196,0.0011858610642578333,0.001560369591418976,2.6894822185771314,2.685917779251781,2.6859179696231545,13.628068685531616,0.5992245674133301
10,0.0026536664541097488,0.0013809210286015172,0.001294577887502868,1,3.5762786865234375e-06,0.00592803955078125,0.020360469818115234,0.0007581710815429688,0.004255459547335028,0.0011520072448729535,0.0015750063969054188,0.002440405823143227,0.0007462304940897579,0.0009878181621531359,2.688289532289528,2.6862470504078866,2.686247131068658,14.714840173721313,1.2534518241882324
11,0.001678371825863445,0.0009010966075907456,0.0015291874266805117,1,3.814697265625e-06,0.006400346755981445,0.019475460052490234,0.0007369518280029297,0.002581875176549231,0.0007099158751736289,0.0009706895416798189,0.0015416163161001695,0.00045919809926208875,0.0006116984725009872,2.6867603448628476,2.6856287789520685,2.6856288113051088,15.79027509689331,1.2538824081420898
